PBO Station Position Time Series.,,,,,,,
Format Version, 1.2.0,,,,,,
Reference Frame, NAM08,,,,,,
4-character ID, AB02,,,,,,
Station name, Nikolski__AK2007,,,,,,
Begin Date, 2007-05-23,,,,,,
End Date, 2017-03-20,,,,,,
Release Date, 2017-03-22,,,,,,
Source file, AB02.pbo.nam08.pos,,,,,,
Offset from source file, 2.92 mm North, -1.30 mm East, 2.51 mm Vertical,,,,
Reference position, 52.9706058839 North Latitude, -168.8546704269 East Longitude, 192.78683 meters elevation,,,,
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality
5/23/2007,0,0,0,1.77,1.36,5.54, repro
5/24/2007,0.6,0.86,1.6,1.57,1.2,4.95, repro
5/25/2007,2.06,0.28,2.41,1.5,1.15,4.69, repro
5/26/2007,1.51,-0.54,-2.84,1.44,1.1,4.54, repro
5/27/2007,1.74,-0.18,-6.32,1.47,1.11,4.62, repro
5/28/2007,1.24,-0.1,-5.98,1.66,1.25,5.1, repro
5/29/2007,0.86,-0.35,-2.34,1.66,1.26,5.18, repro
5/30/2007,0.13,0.02,-3.58,1.47,1.14,4.63, repro
5/31/2007,1.96,-1.39,-6.82,1.54,1.18,4.83, repro
6/1/2007,0.8,0.77,-7.2,1.51,1.16,4.8, repro
6/2/2007,1.2,0.92,-1.95,1.57,1.2,4.96, repro
6/3/2007,0.93,-0.6,-7.88,1.39,1.08,4.4, repro
6/4/2007,1.1,-0.87,-6.46,1.53,1.17,4.83, repro
6/5/2007,2.6,-1.11,-4.74,1.68,1.31,5.42, repro
6/6/2007,0.81,0.25,-4.72,1.49,1.17,4.72, repro
6/7/2007,-0.26,0.13,-1.52,1.5,1.18,4.73, repro
6/8/2007,2.13,-0.58,-1.85,1.52,1.17,4.74, repro
6/9/2007,1.61,-0.39,-3.88,1.44,1.12,4.54, repro
6/10/2007,1.24,0.07,-2.4,1.42,1.11,4.5, repro
6/11/2007,1.2,-1.01,-1.18,1.41,1.09,4.48, repro
6/12/2007,0.63,-0.76,-7.35,1.47,1.14,4.65, repro
6/13/2007,1.09,-0.71,-10.76,1.5,1.19,4.73, repro
6/14/2007,0.71,-0.18,-11.36,1.43,1.15,4.53, repro
6/15/2007,0.4,-0.09,-12.81,1.42,1.14,4.5, repro
6/16/2007,0.54,-0.63,-9.7,1.49,1.19,4.73, repro
6/17/2007,1.16,-0.38,-3.45,1.73,1.37,5.37, repro
6/18/2007,1.71,-0.67,-7.59,1.67,1.31,5.24, repro
6/19/2007,1.93,0.24,-5.62,1.74,1.36,5.49, repro
6/20/2007,2.08,-0.41,-5.5,1.65,1.3,5.17, repro
6/21/2007,1.75,-2.05,-4.92,1.65,1.3,5.16, repro
6/22/2007,0.15,1.74,-1.72,2.1,1.61,6.59, repro
6/23/2007,1.6,0.31,-4.36,1.7,1.32,5.28, repro
6/24/2007,1.06,0.24,-2.24,1.74,1.37,5.38, repro
6/25/2007,1.12,-1.2,-2.71,2.07,1.58,6.52, repro
6/26/2007,1.59,-1.58,-5.62,2.07,1.58,6.52, repro
6/27/2007,2.59,1.22,-3.88,1.83,1.41,5.68, repro
6/28/2007,3.72,-0.77,-13.59,1.95,1.53,6.05, repro
6/29/2007,1.16,-0.15,-10.91,1.63,1.27,5.07, repro
6/30/2007,2.25,-2.51,-3.7,1.5,1.16,4.66, repro
